sname,cname,NumCurrElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Eisenhower Senior High,San Bernardino,191,34.48,98,17.69,75,13.54
Rim of the World Senior High,San Bernardino,86,84.31,54,52.94,52,50.98
Public Safety Academy,San Bernardino,14,53.85,8,30.77,7,26.92
Options for Youth-San Bernardino,San Bernardino,11,50.00,5,22.73,4,18.18
Indian Springs High,San Bernardino,69,42.33,47,28.83,39,23.93
Arroyo Valley High,San Bernardino,129,57.59,58,25.89,54,24.11
Middle College High,San Bernardino,50,75.76,25,37.88,24,36.36
Cajon High,San Bernardino,206,63.19,106,32.52,99,30.37
Pacific High,San Bernardino,48,46.60,22,21.36,19,18.45
San Bernardino High,San Bernardino,65,47.79,30,22.06,29,21.32
San Gorgonio High,San Bernardino,105,54.40,54,27.98,52,26.94
University Preparatory,San Bernardino,145,85.80,103,60.95,99,58.58
Adelanto High,San Bernardino,74,56.06,33,25.00,28,21.21
Options for Youth-Victorville Charter,San Bernardino,30,63.83,7,14.89,7,14.89
Excelsior Charter,San Bernardino,73,74.49,44,44.90,43,43.88
Silverado High,San Bernardino,112,57.73,41,21.13,38,19.59
Victor Valley High,San Bernardino,107,59.44,59,32.78,56,31.11
Cobalt Institute of Math and Science Academy,San Bernardino,36,60.00,21,35.00,18,30.00
Yucaipa High,San Bernardino,275,82.58,210,63.06,202,60.66
Silver Valley High,San Bernardino,23,92.00,18,72.00,18,72.00
Serrano High,San Bernardino,165,82.50,134,67.00,127,63.50
Encore Jr./Sr. High School for the Performing and ,San Bernardino,53,68.83,20,25.97,19,24.68
Oak Hills High,San Bernardino,158,68.70,117,50.87,108,46.96
Hesperia High,San Bernardino,102,56.67,59,32.78,52,28.89
Sultana High,San Bernardino,113,66.08,58,33.92,52,30.41
Lucerne Valley High,San Bernardino,12,66.67,11,61.11,9,50.00
Upland High,San Bernardino,321,79.85,218,54.23,207,51.49
Apple Valley High,San Bernardino,146,68.22,86,40.19,78,36.45
Granite Hills High,San Bernardino,65,74.71,34,39.08,34,39.08
Borrego Springs High,San Diego,13,65.00,7,35.00,7,35.00
Mueller Charter (Robert L.),San Diego,33,56.90,16,27.59,13,22.41
Chula Vista Learning Community Charter,San Diego,43,61.43,20,28.57,19,27.14
Coronado High,San Diego,203,95.31,176,82.63,173,81.22
Classical Academy High,San Diego,154,93.94,125,76.36,124,75.15
Del Lago Academy - Campus of Applied Science,San Diego,105,80.77,65,50.00,63,48.46
San Pasqual High,San Diego,214,84.58,157,62.06,153,60.47
Escondido Charter High,San Diego,95,92.23,65,63.11,65,63.11
Escondido High,San Diego,162,68.94,106,45.11,99,42.13
Orange Glen High,San Diego,126,59.91,55,25.94,48,22.64
Fallbrook High,San Diego,130,71.82,92,50.83,86,47.51
Valhalla High,San Diego,217,87.50,186,75.00,179,72.18
West Hills High,San Diego,194,91.51,165,77.83,160,75.47
Steele Canyon High,San Diego,241,83.10,176,60.69,170,58.62
Grossmont Middle College High,San Diego,27,90.00,23,76.67,23,76.67
El Cajon Valley High,San Diego,48,55.81,33,38.37,28,32.56
El Capitan High,San Diego,116,82.27,79,56.03,77,54.61
Granite Hills High,San Diego,183,83.56,162,73.97,150,68.49
Grossmont High,San Diego,196,84.19,152,64.96,146,62.39
Helix High,San Diego,327,74.32,231,52.50,221,50.23
Monte Vista High,San Diego,91,73.98,73,59.35,69,56.10
Mount Miguel High,San Diego,54,55.67,29,29.90,25,25.77
Santana High,San Diego,118,86.76,102,75.00,97,71.32
Julian Charter,San Diego,22,81.48,14,51.85,13,48.15
River Valley Charter,San Diego,31,96.97,26,81.82,27,81.82
Mountain Empire High,San Diego,27,62.79,11,25.58,10,23.26
Del Norte High,San Diego,371,97.16,342,89.41,341,88.11
Mt. Carmel High,San Diego,290,91.48,245,77.29,240,75.71
Rancho Bernardo High,San Diego,353,93.90,316,83.82,306,81.17
Westview High,San Diego,398,96.39,356,86.27,354,85.30
Poway High,San Diego,311,92.01,277,81.95,271,80.18
Ramona High,San Diego,144,86.23,97,58.08,94,56.29
High Tech High International,San Diego,70,78.65,52,58.43,50,56.18
Learning Choice Academy,San Diego,17,80.95,8,38.10,8,38.10
San Diego International Studies,San Diego,137,87.82,87,55.77,86,55.13
San Diego Business/Leadership,San Diego,35,60.34,14,24.14,13,22.41
Kearny Digital Media & Design,San Diego,30,58.82,23,45.10,20,39.22
Kearny SCT,San Diego,48,75.00,28,43.75,26,40.63
Kearny College Connections,San Diego,38,76.00,21,42.00,21,42.00
"Kearny Eng, Innov & Design",San Diego,29,74.36,24,61.54,22,56.41
Crawford High,San Diego,73,50.34,31,21.38,26,17.93
San Diego Science and Technology,San Diego,45,54.22,30,36.14,26,31.33
San Diego Metro Career and Tech,San Diego,19,82.61,7,30.43,7,30.43
High Tech High Media Arts,San Diego,57,68.67,32,38.55,31,37.35
Lincoln High,San Diego,62,40.79,36,23.68,32,21.05
Health Sciences High,San Diego,49,48.51,22,21.78,22,21.78
East Village High,San Diego,9,50.00,4,22.22,4,22.22
King-Chavez Community High,San Diego,19,38.78,5,10.20,3,6.12
Gompers Preparatory Academy,San Diego,39,28.26,6,4.35,5,3.62
School for Entrepreneurship and Technology,San Diego,25,75.76,19,57.58,19,57.58
e3 Civic High,San Diego,42,56.76,30,40.54,26,35.14
Serra High,San Diego,197,87.56,148,65.78,144,64.00
Mira Mesa High,San Diego,279,85.85,235,72.31,229,70.46
University City High,San Diego,291,89.54,229,70.46,222,68.31
San Diego SCPA,San Diego,108,78.26,73,52.90,71,51.45
Mt. Everest Academy,San Diego,21,100.00,20,95.24,20,95.24
Scripps Ranch High,San Diego,348,93.85,310,83.42,309,82.62
Charter School of San Diego,San Diego,22,73.33,15,50.00,15,50.00
Preuss School UCSD,San Diego,75,75.76,56,56.57,53,53.54
Clairemont High,San Diego,98,81.67,68,56.67,66,55.00
High Tech High,San Diego,91,83.49,58,53.21,57,52.29
Audeo Charter,San Diego,11,68.75,6,37.50,6,37.50
Henry High,San Diego,341,90.21,287,75.93,279,73.81
Hoover High,San Diego,159,54.27,93,31.74,84,28.67
La Jolla High,San Diego,216,90.38,181,75.73,180,75.31
Madison High,San Diego,103,71.03,62,42.76,58,40.00
Mission Bay High,San Diego,80,72.73,46,41.82,46,41.82
Morse High,San Diego,109,62.64,66,37.93,61,35.06
Point Loma High,San Diego,253,85.47,184,62.16,179,60.47
The O'Farrell Charter,San Diego,59,54.13,39,35.78,38,34.86
Canyon Crest Academy,San Diego,388,98.31,366,93.00,385,93.00
Torrey Pines High,San Diego,302,96.27,277,88.51,282,87.58
La Costa Canyon High,San Diego,218,92.37,192,81.36,190,80.51
San Dieguito High Academy,San Diego,306,93.58,265,81.04,262,80.12
California Virtual Academy @ San Diego,San Diego,14,77.78,8,44.44,8,44.44
Olympian High,San Diego,403,85.23,283,59.70,276,58.23
Southwest Senior High,San Diego,127,67.55,52,27.66,49,26.06
Bonita Vista Senior High,San Diego,279,87.46,227,71.16,218,68.34
Castle Park Senior High,San Diego,67,60.91,35,31.82,34,30.91
Eastlake High,San Diego,482,89.59,367,68.22,355,65.99
Chula Vista Senior High,San Diego,192,72.45,89,33.58,85,32.08
San Ysidro High,San Diego,159,65.43,108,44.44,94,38.68
Otay Ranch Senior High,San Diego,351,79.59,226,51.25,221,50.11
Hilltop Senior High,San Diego,184,77.97,114,48.31,111,47.03
Mar Vista Senior High,San Diego,104,73.76,58,41.13,53,37.59
Sweetwater High,San Diego,191,71.80,98,36.84,92,34.59
Montgomery Senior High,San Diego,108,66.67,58,35.80,54,33.33
Mission Vista High,San Diego,233,92.83,176,70.12,174,69.32
Rancho Buena Vista High,San Diego,184,86.38,151,70.89,142,66.67
Guajome Park Academy Charter,San Diego,83,88.30,54,57.45,54,57.45
Vista High,San Diego,144,66.98,84,39.07,78,36.28
Sage Creek High,San Diego,202,94.84,176,82.63,173,81.22
Carlsbad High,San Diego,247,93.61,203,77.07,203,76.32
Oceanside High,San Diego,130,75.58,92,53.49,87,50.58
El Camino High,San Diego,240,77.81,200,64.95,187,60.13
Mission Hills High,San Diego,303,80.80,212,56.53,205,54.67
San Marcos High,San Diego,416,89.27,312,66.95,308,66.09
Valley Center High,San Diego,103,79.23,72,55.38,68,52.31
High Tech High Chula Vista,San Diego,108,69.68,52,33.55,49,31.61
High Tech High North County,San Diego,86,80.37,56,52.34,56,52.34
Bonsall High,San Diego,31,83.78,20,54.05,19,51.35
City Arts and Tech High,San Francisco,23,38.98,13,22.03,11,18.64
S.F. International High,San Francisco,8,16.33,15,30.61,8,16.33
Academy (The)- SF @McAteer,San Francisco,33,70.21,18,38.30,16,34.04
KIPP San Francisco College Preparatory,San Francisco,54,68.35,25,31.65,22,27.85
Independence High,San Francisco,12,80.00,8,53.33,8,53.33
Wallenberg (Raoul) Traditional High,San Francisco,91,77.78,84,71.79,78,66.67
Burton (Phillip and Sala) Academic High,San Francisco,93,62.00,73,48.67,62,41.33
Balboa High,San Francisco,141,75.00,125,66.49,116,61.70
"Asawa (Ruth) SF Sch of the Arts, A Public School",San Francisco,117,95.90,94,77.05,94,77.05
Marshall (Thurgood) High,San Francisco,18,32.73,17,30.91,13,23.64
Leadership High,San Francisco,19,38.78,7,14.29,3,6.12
Gateway High,San Francisco,76,73.79,51,49.51,50,48.54
Galileo High,San Francisco,246,73.65,233,69.76,204,61.08
Lincoln (Abraham) High,San Francisco,293,76.10,267,69.61,239,62.08
Lowell High,San Francisco,587,98.33,573,95.82,568,94.98
Mission High,San Francisco,86,53.75,57,35.63,44,27.50
O'Connell (John) High,San Francisco,24,68.57,14,40.00,14,40.00
Washington (George) High,San Francisco,321,79.85,279,69.40,254,63.18
Venture Academy,San Joaquin,41,56.94,19,26.39,15,20.83
Escalon High,San Joaquin,65,87.84,48,64.86,47,63.51
Lincoln High,San Joaquin,204,86.44,148,62.71,141,59.75
Linden High,San Joaquin,61,91.04,41,61.19,41,61.19
Aspire Benjamin Holt College Preparatory Academy,San Joaquin,57,89.06,43,67.19,43,67.19
Ronald E. McNair High,San Joaquin,111,67.27,71,43.03,62,37.58
Bear Creek High,San Joaquin,149,76.02,120,61.22,107,54.59
Middle College High,San Joaquin,52,96.30,45,83.33,45,83.33
Tokay High,San Joaquin,118,79.19,102,68.46,91,61.07
Lodi High,San Joaquin,163,89.56,149,81.87,138,75.82
Weston Ranch High,San Joaquin,82,72.57,53,46.90,50,44.25
Lathrop High,San Joaquin,96,68.09,51,36.17,49,34.75
Sierra High,San Joaquin,111,81.02,70,51.09,65,47.45
East Union High,San Joaquin,116,74.84,78,50.32,71,45.81
Manteca High,San Joaquin,91,65.94,56,40.58,50,36.23
"Humphreys College Academy of Business, Law and Edu",San Joaquin,21,65.63,10,31.25,10,31.25
Delta Charter,San Joaquin,13,86.67,6,40.00,6,40.00
California Connections Academy @ Ripon,San Joaquin,16,80.00,11,55.00,11,55.00
Ripon High,San Joaquin,86,83.65,60,58.65,59,56.73
Cesar Chavez High,San Joaquin,93,50.82,48,26.23,44,24.04
Edward C. Merlo Institute of Environmental Studies,San Joaquin,13,52.00,7,28.00,6,24.00
Aspire Langston Hughes Academy,San Joaquin,35,64.81,29,53.70,27,50.00
Stockton Unified Early College Academy,San Joaquin,83,89.25,60,64.52,59,63.44
Stockton Collegiate International Secondary,San Joaquin,30,76.92,19,48.72,18,46.15
Health Careers Academy,San Joaquin,37,53.62,13,18.84,12,17.39
Pacific Law Academy,San Joaquin,19,73.08,8,30.77,8,30.77
Weber Institute,San Joaquin,27,45.76,14,23.73,14,23.73
Edison High,San Joaquin,88,52.07,53,31.36,44,26.04
Franklin High,San Joaquin,91,59.48,61,39.87,52,33.99
Stagg Senior High,San Joaquin,49,53.85,24,26.37,21,23.08
Millennium Charter,San Joaquin,50,81.97,37,60.66,35,57.38
John C. Kimball High,San Joaquin,130,79.27,99,60.37,96,58.54
Merrill F. West High,San Joaquin,139,72.77,88,46.07,80,41.88
Tracy High,San Joaquin,214,86.29,157,63.31,153,61.69
Mountain House High,San Joaquin,132,89.86,94,64.19,90,60.81
Atascadero High,San Luis Obispo,96,94.12,75,73.53,74,72.55
Central Coast New Tech High,San Luis Obispo,39,88.89,25,57.78,26,57.78
Nipomo High,San Luis Obispo,62,84.93,48,65.75,46,63.01
Arroyo Grande High,San Luis Obispo,238,90.49,194,73.76,191,72.62
Morro Bay High,San Luis Obispo,80,81.63,67,68.37,62,63.27
San Luis Obispo High,San Luis Obispo,194,92.42,184,87.68,178,84.36
Templeton High,San Luis Obispo,93,95.88,71,73.20,71,73.20
Paso Robles High,San Luis Obispo,162,79.02,119,58.05,112,54.63
Coast Union High,San Luis Obispo,25,80.65,22,70.97,21,67.74
Half Moon Bay High,San Mateo,89,78.26,77,67.83,74,64.35
Summit Public School: Shasta,San Mateo,82,82.83,65,65.66,64,64.65
Jefferson High,San Mateo,80,66.12,50,41.32,47,38.84
Oceana High,San Mateo,91,89.32,72,70.87,72,69.90
Terra Nova High,San Mateo,102,90.27,95,84.07,89,78.76
Westmoor High,San Mateo,180,86.12,159,76.08,153,73.21
Design Tech High,San Mateo,84,94.44,74,83.33,75,83.33
Aragon High,San Mateo,222,89.92,199,80.65,194,78.23
Burlingame High,San Mateo,211,93.39,185,81.94,180,79.30
Capuchino High,San Mateo,144,81.36,107,60.45,102,57.63
Hillsdale High,San Mateo,200,90.91,176,80.00,173,78.64
Mills High,San Mateo,213,95.61,192,86.40,195,85.53
San Mateo High,San Mateo,201,89.33,174,77.33,168,74.67
Summit Preparatory Charter High,San Mateo,59,71.95,36,43.90,34,41.46
Everest Public High,San Mateo,27,71.05,23,60.53,22,57.89
East Palo Alto Academy,San Mateo,20,45.45,9,20.45,8,18.18
Carlmont High,San Mateo,382,95.26,361,90.02,353,88.03
Menlo-Atherton High,San Mateo,292,90.12,252,77.78,251,77.47
